Количество	Запрос
98	два комбайна убрали поле за 4 дня за сколько дней
98	как решить задачу в мастерской сшили 120 спальных мешков за 6 дней
98	один токарь может выполнить заказ за 10 часов второй за 15
98	пассажирский поезд проходит за 3 часа на 10 км больше
98	первый насос наполняет бак за 20 минут второй за 30 минут
98	скорость лыжника составляет 1/6 скорости аэросаней за 3 часа аэросани
98	улитка за день поднимается на 2 м а за ночь опускается на 1 м
97	вася загружает на свой компьютер файл размером 30 мб за 27 секунд
97	за 1 день на заводе изготовили 560 деталей
96	за 20 минут велосипедист проехал 7 километров. сколько километров он проедет за 35 минут, если будет ехать с той же скоростью?
96	какую часть стены маляр красит за 1 час если всю стену 1 1/2
96	сколько метров проходит грузовой автомобиль за 1 час
95	131 майкопская бригада за 60 часов разбита в пух и прах
95	катер за 4 часа прошёл 104 км за сколько времени
95	таксист за месяц проехал 5000 км стоимость 1 литра бензина 20
94	автобус за 8 часов работы расходует 48 литров
94	завод за день выпустил с конвейера 75 машин
94	первый и второй насосы наполняют бассейн за 10 минут второй и третий за 15
93	гоночный автомобиль за 6 часов прошел 720 км
93	принтер печатает одну страницу за 6 секунд сколько страниц
93	улитка за день заползает вверх по дереву на 4 м
92	на сколько градусов повернется минутная стрелка часов за 6 минут
92	фабрика предполагала выпустить партию изделий за 36 дней
91	даша и маша пропалывают грядку за 18 минут, а одна маша — за 54 минуты. за сколько минут пропалывает грядку одна даша?
91	плот проплыл 27 км за 9 часов
91	таксист за месяц проехал 10000 км стоимость 1 л бензина 22 рубля
90	автомобиль за 6 часов проехал 480 км какое расстояние мог бы проехать
90	вася загружает на свой компьютер файл размером 30 мб за 29 секунд
90	велосипедист двигаясь с постоянной скоростью проехал 49 км за 4 часа
90	велосипедист проехал за час 12 км какое расстояние он проедет за 4 часа
90	за 16 дней двумя экскаваторами можно вырыть 4/9 траншеи
90	катер проплывает некоторое расстояние по озеру за 6 часов а по течению
90	костя и руслан выполняют одинаковый тест костя отвечает за час на 19
90	лошадь съедает воз сена за месяц коза за два месяца
89	за 3 дня автомобиль проехал 910 км при этом в каждый следующий
89	за 40 минут пешеход прошел 3 километра. сколько километров он пройдет за 1 час, если будет идти с той же скоростью?
89	каменщики антон и петя выкладывают один кирпичный забор за 8 часов
89	первая бригада грузчиков разгружает 1500 кг грузов за 15 минут
89	сколько вёрст пролетают скворцы за час
88	бегун пробежал 800 м за 2 минуты 40 секунд найдите среднюю скорость
88	велосипедист рассчитывал проехать маршрут bc за 2 часа
88	две бригады работая вместе могут выполнить задание за 8 часов
88	две бригады работая вместе могут закончить уборку урожая за 8 дней
88	один слесарь может выполнить заказ за 6 часов а другой за 10 часов
88	одна бригада выполнит работу за 6 дней а другая за 12
87	грузовая машина проезжает расстояние между двумя городами за 30 часов если
87	за неделю лика собрала для картины из сухих трав 84 лесных растения
87	задача за 8 минут самолёт двигаясь с одинаковой скоростью пролетел 96 км
87	из пункта а в пункт в, расстояние между которыми 60 км, одновременно выехали мотоциклист и велосипедист. известно, что за час мотоциклист проезжает на 50 км больше, чем велосипедист. определите скорость велосипедиста, если известно, что он прибыл в пункт в на 5 часов позже мотоциклиста. ответ дайте в км/ч.
87	мастер выполнит всю работу за 6 дней а его ученику в два раза больше
87	турист прошел 25 км за 4 часа найдите его скорость
86	грузовик за 1 час проехал 48 км
86	два насоса работая вместе могут наполнить бассейн за 48 минут
86	две бригады за час совместной работы могут засеять поле площадью 9 гектар
86	за 3 дня рабочие уложили 1329 м2 газона
86	лев в зоопарке съедает за месяц 132 кг мяса
86	один мастер может выполнить заказ за 12 часов, а другой — за 6 часов. за сколько часов выполнят заказ оба мастера, работая вместе?
86	первый насос наполняет бак за 19 минут, второй — за 57 минут, а третий — за 1 час 16 минут. за сколько минут наполнят бак три насоса, работая одновременно?
86	фермер вспахал весной поле под овес за 3 дня
85	десять маляров могут покрасить 60 рам за 120 минут
85	за 1 день в столовой израсходовали 28 кг картофеля и 7 кг помидоров
85	за день турист прошёл 24 км что составило 3/8
85	мотоциклист за 6 часов проехал 480 км
85	один грузовик может перевезти с поля 840 т зерна за 60 часов
85	по плану тракторная бригада должна была вспахать поле за 14 дней
85	поезд проехал 24 км за 15 минут сколько километров проезжал поезд за минуту
85	путь от дома до магазина мальчик прошел за 12 минут краткая запись
84	автомобиль проехал за 3 часа 185 1/4 км в первый час он проехал
84	два трактора вспахали поле за 6 часов
84	за 20 часов поезд проехал 2380км остальной путь занял 4 часа
84	игорь и паша красят забор за 10 часов паша и володя
84	перевозя за день 8 т груза вместо 6 т водитель
83	5 землекопов за 5 часов выкапывают 5 метров канавы сколько землекопов
83	всадник проехал за 1 час 28 км сколько он проедет за 3 часа
83	девочка прочитала книгу за 3 дня в первый день она прочитала 7/16
83	за 90 минут самолет пролетел 810 км
83	за минуту через первую трубу наполняется 1/20 бассейна
83	один мастер может выполнить заказ за 20 часов а другой за 30 часов
82	за неделю израсходовано 5 кг картофеля
82	олег поймал за 5 дней 512 мух каждый день он отлавливал
82	определите мощность электрического чайника если за 8 минут
82	папа с сыном поехали на экскурсию на велосипедах за 3 дня решение
82	туристы прошли за 2 дня 48 км
81	двое рабочих работая вместе могут выполнить работу за 8 дней
81	миша прочитал половину книги за 5 дней
81	─ загадка для гения  гений находит решение за 10 секунд.  билл гейтс - за 20 секунд.  выпускник гарварда (harvard university) за 40 секунд.  90% людей не способны решить эту задачу.
80	вася загружает на свой компьютер файл размером 30 мб за 26 секунд
80	за 1 час туристы прошли 1/5 всего пути за сколько часов
80	за 20 минут велосипедист проехал 7 километров. сколько километров он проедет за t минут, если будет ехать с той же скоростью? запишите соответствующее выражение.
80	за 7 часов токарь изготовил 63 одинаковые детали
80	чтобы выполнить работу за 4 часа нужно 12 рабочих
79	в помощь садовому насосу перекачивающему 8 литров воды за 1 минуту
79	два автомата разной мощности изготовили за 2 часа 55 минут
79	десять человек могут нарисовать 60 зданий за 120 дней, таким образом пять человек могут нарисовать 30 зданий за?
79	за 1 час 60 мин двигаясь с одинаковой скоростью машина проходит 60 км
79	за 1 час напечатали 5/8 рукописи за сколько часов напечатают всю рукопись
79	какое расстояние пролетит сокол за 1 минуту со скоростью 60 км/ч
79	кальмар проплыл 165 км за 3 часа
79	пешеход прошёл 16 км за 4 часа на обратном пути
79	трактор проехал n км за 5 часов
79	урожай пшеницы убрали за 3 дня в первый день убрали урожай с 2/5
78	за 1 час туристы прошли 1/5 всего пути
78	заказ по выпуску машин завод должен был выполнить за 20 дней
78	какой угол в градусах описывает минутная стрелка за 45 секунд
78	пять землекопов за 5 часов выкапывают 5 м канавы ответ
77	70 коров съели бы всю траву за 24 дня
77	бригада по озеленению за день посадила 42 саженца
77	в пачке 500 листов бумаги формата а4 за неделю расходуется 1800 листов
77	велосипедист за 3 часа проехал 24 км значит он ехал со скоростью 8 км/ч
77	два комбайна работая совместно могут выполнить задание за 6 часов
77	за неделю израсходовано 5 кг картофеля сколько килограммов картофеля
77	самолет пролетает 3600 км за 4 часа
76	анна павловна преподаёт математику в классе из 28 учеников. она проверяет контрольную работу одного школьника в среднем за 7 минут, а самостоятельную — за 2 минуты. за неделю учительница провела одну контрольную работу и четыре самостоятельных. сколько времени анна павловна потратит на проверку? ответ дайте в часах.
76	два фермера вырыли колодец за 24 часа
76	рабочий выполнил 3/8 работы за 9 часов за какое время
76	семья за 2 недели израсходовала 7 пачек
75	игорь и паша красят забор за 9 часов. паша и володя красят этот же забор за 12 часов, а володя и игорь — за 18 часов. за сколько часов мальчики покрасят забор, работая втроем?
75	туристы решили пройти за день 30 км они уже прошли
74	за 2 дня пропололи 7/9 огорода
74	за 6 часов мотоциклист проезжает то же расстояние
74	за 8 минут самолёт двигаясь с одинаковой скоростью пролетел 96 км решение
74	как решить задачу за 8 минут самолёт двигаясь с одинаковой скоростью
74	кран который подаёт в минуту 30 л воды за 5 минут
74	первая труба наполняет бак на 25 минут дольше, чем вторая труба наполняет половину такого же бака. за какое время наполнит весь бак одна вторая труба, если первая и вторая трубы вместе могут наполнить его за 1 час? ответ дайте в минутах.
74	первый насос наполняет бак за 30 минут второй за 48 минут
74	первый рабочий работая один выполняет работу за 20 дней
74	при совместной работе двух контроллеров они могут за 8 часов
74	сколько метров проплывет окунь за 8 минут
74	экскаватор можно выкопать за 1 час канаву длиной 20 м
73	какое расстояние пройдет лыжник за 3 часа
73	самолёт за 4 часа пролетел 3200 км
72	грузовая машина проезжает расстояние между двумя городами за 15 часов
72	двое рабочих могут выполнить всю работу за 2 часа 40 минут
72	путь от дома до магазина мальчик прошел за 12 минут а от магазина до аптеки
72	расстояние ав равное 110 км турист прошел за 3 дня
71	автомобиль проехал 180 км за 3 часа с одинаковой скоростью
71	в мастерской сшили 120 спальных мешков за 6 дней одинаковое количество
71	катер за 4 часа прошел 104 км
71	сколько часов будет ползти черепаха если за минуту она проползает 50 см
71	через две трубы половина бассейна наполнится за 2 часа
70	бегун пробежал 50 м за 5 секунд
70	два фермера вырыли колодец за 24 часа сколько часов пришлось бы
70	две студентки работая вместе могут напечатать курсовую за 6 дней
70	за 20 минут велосипедист проехал 7 километров. сколько километров он проедет за 35 минут, если будет ехать с той же скоростью?
70	от дома до станции фермер доехал за 30 минут
70	первые 270 км автомобиль ехал по шоссе со скоростью 72 км/ч, следующие 150 км – со скоростью 75 км/ч, а затем 66 км проехал за 1 час. найдите среднюю скорость автомобиля на протяжении всего пути. ответ дайте в км/ч.
70	поезд за 12 часов проехал 1440 км.какое расстояние
70	расстояние 160 км автобус преодолел за 2 часа
70	расстояние от дома до автобусной остановки серёжа проходит за 12 минут
70	сколько метров проходит грузовой автомобиль за 1 час если скорость 72 км/ч
69	в среднем за месяц гражданин т в дневное время расходует 140 квт ч
69	дима и руслан выполняют одинаковый тест. дима отвечает за час на 22 вопроса теста, а руслан — на 24. они одновременно начали отвечать на вопросы теста, и дима закончил свой тест позже руслана на 10 минут. сколько вопросов содержит тест?
69	загадка для гения гений находит решение за 10 секунд. билл гейтс - за 20 секунд. выпускник гарварда (harvard university) за 40 секунд. если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей. 75% людей не способны решить эту задачу.
69	к бассейну подведены 2 трубы первая труба наполняет бассейн за 8 часов
69	как посчитать прибыль магазина за месяц
69	какую энергию расходует стиральная машина за 2 часа работы
69	первый насос наполняет бак за 19 минуты второй за 57 минут
69	поезд прошёл 432 км за 9 часов на сколько нужно увеличить
69	полярник за день прошел по льдам к северному полюсу 15 км рисунок
69	рысь съедает 600 кг мяса за 6 часов а тигр в 2 раза быстрее
69	самолёт пролетел 1840 км за 2 часа
69	ученик решил 12 уравнений за 40 минут
68	два фильтра марки родник очищают 1000 л воды за 5 часов
68	две трубы наполняют бассейн за 4 часа 30 минут а одна первая труба
68	за 3 часа маляры выполнили 3/7 всей работы
68	какое количество теплоты выделяется за 1 час в обмотке реостата
68	какую мощность развивает человек при ходьбе если за 1 час он делает
68	электрический нагреватель за 20 минут доводит до кипения 3 кг воды
67	в мастерской сшили 120 спальных мешков за 6 дней решение
67	грузовая машина расходует за 1 час работы 15 л горючего на сколько часов
67	долг приморья за 9 месяцев вырос в 4,3 раза, чукотского ао и владимирской области - более чем в 2 раза москва. 23 октября. интерфакс-афи
67	из пункта а в пункт в автомобиль доехал за 5 часов двигаясь в пределах
67	малыш может съесть банку варенья за 30 минут а карлсон в 5 раз быстрее
67	от турбазы до станции турист доехал на велосипеде за 3 часа пешком
67	призван в 1941 году из сталинска. за 2 дня в апреле 1943 года старший сержант медицинской службы вынес с поля боя 15 человек. награжден медалью «за отвагу».
67	самолет за 4 часа пролетел 3200 км
66	две трубы работая одновременно заполняют бассейн за 6 часов
66	за 20 минут автобус проехал 23 километра. сколько километров он проедет за 35 минут, если будет ехать с той же скоростью?
66	инженеры решают меньше чем за 3 минуты архитекторы за 3 часа ответ
66	мастер не выспался и за день из 15 деталей сделал 8 бракованных
66	токарь 6 разряда и его ученик за час вместе изготавливают 50 деталей
65	дима прочитал книгу за 4 дня количество страниц
65	конвейер за 3 часа работы штампует 5100 деталей
65	кто на холоде больше съедает за день мышь или ящерица
65	маятник совершил 20 полных колебаний за 5 секунд
65	определите расход энергии в электрической лампе за 8 часов
65	улитка за день поднимается на 4 м а за ночь опускается на 1 м
64	6 котов за 6 минут съедают 6 мышей решение
64	вася купил проездной билет на месяц и сделал за месяц 26 поездок
64	заказ на изготовление 154 деталей первый рабочий выполняет на 3 часа быстрее, чем второй. сколько деталей за час делает второй рабочий, если известно, что первый за час делает на 3 детали больше?
64	один кран заполняет бассейн за 4 часа а другой за 3 часа
64	один принтер печатает многостраничный документ за 3 минуты
64	одна бригада рабочих может заасфальтировать 15 км за 30 дней
64	скорость машины 2 км мин какое расстояние она проедет за 3 часа
64	таксист за месяц проехал 7000 км стоимость 1 литра бензина 30 рублей
64	туристы прошли за 3 дня 48 км в первый день 1/2 всего расстояния
63	автомобиль за 14 часов проехал 1148 км
63	велосипедист за 4 часа проехал 48 км на обратном пути он увеличил скорость
63	если зачатие произошло за неделю до месячных придут ли месячные
63	на обувной фабрике за 7 дней сшили 2800 пар обуви
63	на сколько градусов за 5 минут нагревается медный электропаяльник
63	отпускные выплачиваются за 3 дня календарных или рабочих
63	по одной дороге из поселка в деревню можно доехать за 3 часа
63	установка двух счётчиков воды (холодной и горячей) стоит 3300 рублей. до установки счётчиков александр платил за воду (холодную и горячую) ежемесячно 800 рублей. после установки счётчиков оказалось, что в среднем за месяц он расходует воды на 300 рублей при тех же тарифах на воду. за какое наименьшее количество месяцев при тех же тарифах на воду установка счётчиков окупится?
62	5 землекопов за 5 часов выкапывают 5 м канавы
62	в квартире за 30 минут израсходовано 792 кдж энергии
62	в пачке 500 листов бумаги формата а4 за неделю расходуется 900 листов
62	велосипедист за 3 часа проехал 24 км
62	две бригады выполнили эту работу за 12 дней
62	две строительные бригады работая вместе могут выполнить работу за 3 дня
62	две трубы наполняют бассейн за 48 минут, а одна первая труба наполняет бассейн за 1 час. за сколько часов наполняет бассейн одна вторая труба?
62	дима и саша красят забор за 10 часов паша и володя
62	за 4 часа катер проходит по течению расстояние в 2.4 раза больше
62	за день турист прошёл 24 км что составило 3/8 длины намеченного маршрута
62	заказ на 180 деталей первый рабочий выполняет на 3 часа быстрее, чем второй. сколько деталей в час делает второй рабочий, если известно, что первый за час делает на 3 детали больше?
62	мастерская за месяц должна сшить 38 костюмов в первую неделю
62	сколько за день может пролететь азиатская перелетная саранча
62	улитка за день поднимается на 4 м а за ночь опускается на 2 м
61	автомобиль 3/7 части всего пути проехал за 1 час
61	водитель за 3 дня перевез 250 т овощей
61	какова скорость мотоцикла если он проехал 240 км за 3 часа
61	каменщик антон и петя выкладывают один кирпичный забор за 8 часов
61	первая труба наполняет резервуар на 6 минут дольше, чем вторая. обе трубы наполняют этот же резервуар за 4 минуты. за сколько минут наполняет этот резервуар одна вторая труба?
61	токарь выполнил заказ за 6 дней вместо 8 дней
61	улитка за день залезает вверх по дереву на 2 м а ночью спускается на 1
61	улитка проползла за час 70 см как в тетради
60	две бригады выполнили эту работу за 12 дней одна бригада выкладывала 14 м
60	задача экскаватором можно выкопать за 1 час канаву длиной 20 м
60	каждый из двух рабочих одинаковой квалификации может выполнить заказ за 8 часов. через 4 часа после того, как один из них приступил к выполнению заказа, к нему присоединился второй рабочий, и работу над заказом они довели до конца уже вместе. сколько часов потребовалось на выполнение всего заказа?
60	маша и настя вымоют окно за 12 минут настя и лена за 20 минут
60	на изготовление 475 деталей первый рабочий тратит на 6 часов меньше, чем второй рабочий на изготовление 550 таких же деталей. известно, что первый рабочий за час делает на 3 детали больше, чем второй. сколько деталей в час делает первый рабочий?
60	одна швея за час успевает обработать 17 платьев а вторая 13
60	определить мощность электрического чайника если в нем за 20 минут
60	пальчиковые краски своими руками за 10 минут. необходимые ингредиенты: мука, соль, вода, растительное масло и пищевые красители!
60	первый рабочий работая один выполняет работу за 14 дней
60	расстояние 287 км электропоезд прошел за 4 часа
60	санки съехали с горки за 10 секунд со скоростью 2 м/с
59	вася загружает на свой компьютер из интернета файл размером 30 мб за 28 секунд. петя загружает файл размером 28 мб за 24 секунды, а миша загружает файл размером 38 мб за 32 секунды. сколько секунд будет загружаться файл размером 665 мб на компьютер с наибольшей скоростью загрузки?
59	за день в магазине продали 6 чайных чашек по 100 рублей каждая
59	ира прошла 15 км за 3 часа а петя 16 км за 4 часа
59	мастер и четыре ученика изготовили за день 99 деталей сколько деталей
59	одна бригада рабочих может построить 15 км шоссейной дороги за 30 дней
59	расстояние между двумя городами машина проехала за 6 часов
59	три курицы за 3 дня дают 3 яйца.сколько яиц за 12 дней дадут 12 куриц
58	бассейн вмещает 800 л воды два насоса наполнили бассейн водой за 25 минут
58	бегун пробежал 50 м за 5 секунд. найдите среднюю скорость бегуна на дистанции. ответ дайте в километрах в час.
58	грузовик за 1 час проехал 48 км чему равна скорость грузовика
58	две трубы наполняют бассейн за 8 часов 45 минут, а одна первая труба наполняет бассейн за 21 часов. за сколько часов наполняет бассейн одна вторая труба?
58	загадка для гения  гений находит решение за 10 секунд.  билл гейтс - за 20 секунд.  выпускник гарварда (harvard university) за 40 секунд.  если вы нашли ответ за 2 минуты, то вы принадлежите к 15% наиболее одаренных людей.  75% людей не способны решить эту задачу.
58	какое количество теплоты выделится за 30 минут проволочной спиралью
58	какой угол в градусах описывает минутная стрелка за 24 минуты
58	нитяной маятник совершил 25 колебаний за 50 секунд
58	первая труба наполняет резервуар за 18 минут вторая за 30 минут
58	первый насос наполняет бак за 19 минут, второй — за 57 минут, а третий — за 1 час 16 минут. за сколько минут наполнят бак три насоса, работая одновременно?
58	сколько раз вращается колесо за 1 минуту если она за 7 минут
57	автобус за 8 часов работы расходует 48 литров сколько за 6 часов аватария
57	велосипедист проехал 60 км за 5 часов
57	двое рабочих работая вместе могут выполнить работу за 24 дня
57	за 10 минут улитка проползла 0.53 метра
57	заказ на 110 деталей первый рабочий выполняет на 1 час быстрее, чем второй. сколько деталей в час делает второй рабочий, если известно, что первый за час делает на 1 деталь больше?
57	иван сдаёт нормы гто. для бега на дистанцию в 3 километра ему дали три попытки. первый раз иван пробежал за 13 минут и 50 секунд. второй раз — за 14 минут и 30 секунд. перед третьим забегом иван отпил воды, внушил себе, что это допинг, и в итоге показал время в 13 минут и 10 секунд. найдите среднюю скорость движения ивана к заветному значку. ответ дайте в километрах в час, округлив до первого знака после запятой. единицы измерения указывать не надо.
57	на изготовление 475 деталей первый рабочий тратит на 6 часов меньше, чем второй рабочий на изготовление 550 таких же деталей. известно, что первый рабочий за час делает на 3 детали больше, чем второй. сколько деталей в час делает первый рабочий?
57	один кран заполняет бак за 10 минут а другой за 15 минут
57	пешеход прошел за 6 часов 24 км
57	сережа и дима красят забор за 14 часов сережа и костя
57	сила тока в проводнике постоянна и равна 0.5 а за 20 минут
57	стрекоза летит со скоростью 10 м/сек сколько км она пролетит за 1 час
56	автомобиль проехал 17 километров за 15 минут. сколько километров он проедет за 18 минут, если будет ехать с той же скоростью?
56	автомашина за 3 дня прошла 980 км
56	даша и маша пропалывают грядку за 18 минут, а одна маша — за 54 минуты. за сколько минут пропалывает грядку одна даша?
56	два наборщика работая вместе напечатают рукопись за 5 часов
56	за минуту наполняется 1/20 бассейна какая часть бассейна
56	какой угол описывает минутная стрелка за 28 минут
56	какой угол описывает часовая стрелка за 10 минут
56	поезд прошел 224 км за 4 часа
56	поезд, двигаясь равномерно со скоростью 60 км/ч, проезжает мимо лесополосы, длина которой равна 400 метров, за 39 секунд. найдите длину поезда в метрах.
56	сколько килограмм двигатель мощностью в 1 лошадиную силу поднимет на 1 метр за 1 секунду?
56	улитка за день залезает вверх по дереву на 3 м, а за ночь спускается на 2 м. высота дерева 10 м. за сколько дней улитка поднимется на вершину дерева?
56	через первую трубу бак наполняется за 10 минут
55	даша и маша пропалывают грядку за 12 минут, а одна маша — за 20 минут. за сколько минут пропалывает грядку одна даша?
55	два мастера работая вместе могут выполнить заказ за 6 часов
55	за 40 минут пешеход прошел 3 километра. сколько километров он пройдет за 1 час, если будет идти с той же скоростью?
55	за 6 часов работы ученик изготовил 18 деталей
55	за 8 минут самолёт двигаясь с одинаковой скоростью пролетел 96 км краткая
55	какое количество теплоты выделяется за 20 минут в проводнике
55	пассажирский поезд за 4 часа прошел такое же расстояние какое товарный за 6
55	первый рабочий за час делает на 10 деталей больше чем второй
55	поезд за 1 час 20 мин проезжает 80 км
55	сможет ли электропоезд пройти 400 км за 5 часов
55	сторож обходит сторону квадратного поля за 1 час
55	теплоход за 2 дня прошел 375 км
55	через первую трубу бак можно наполнить за 2 часа
54	аня купила проездной билет на месяц и сделала за месяц 41 поездку. сколько рублей она сэкономила, если проездной билет на месяц стоит 580 рублей, а разовая поездка — 20 рублей?
54	аня прочитала за 6 минут 4 страницы книги сколько страниц прочитает за час
54	в пачке 500 листов бумаги формата а4. за неделю в офисе расходуется 1200 листов. какое наименьшее количество пачек бумаги нужно купить в офис на 5 недель?
54	за 20 минут художница расписала 5 подносов
54	за 20 часов поезд проехал 2380 км
54	за 32 минуты дежурный по кухне очистил 20 картофелин 4 класс
54	за день турист прошел 24 км что составило 3 8 длины
54	как вычислить среднюю температуру за месяц
54	токарь за 3 часа 35 минут обтачивает 43 детали
53	3 курицы за 3 дня снесли 3 яйца сколько яиц за 6 дней 6 куриц
53	автомобиль за 30 минут проехал 28 миль с какой скоростью
53	жираф пробежал 98 метров за 7 секунд
53	за 2 дня со станции вывезли 5/7
53	задача завод за день выпустил с конвейера 75 машин
53	игорь мерлин как влюбить в себя мужчину за 3 дня
53	первые 270 км автомобиль ехал по шоссе со скоростью 72 км/ч, следующие 150 км – со скоростью 75 км/ч, а затем 66 км проехал за 1 час. найдите среднюю скорость  автомобиля на протяжении всего пути. ответ дайте в км/ч
53	скорость пешехода 1.5 м/с за 1 минуту он проходит путь
52	велосипедист проехал за час 12 км какое расстояние он проедет
52	два водителя сделали за день 8 рейсов
52	две машинистки работая совместно могут перепечатать рукопись за 4 дня
52	две трубы наполняют бассейн за 48 минут а одна первая труба
52	за 2 дня было скошено 15/16 луга
52	за день рабочие трёх бригад должны изготовить вместе 2516 деталей
52	одна бригада асфальтирует за день 1 3/5 км дороги
52	одна швея может выполнить работу за 4 часа другая за 8 часов
52	партия обуви приобретенная предпринимателем была продана за 3 дня
52	половина пути от дома до школы мальчик прошёл за 15 минут
52	проехав за 1 час три четверти расстояния между городами а и в
52	самолёт пролетает расстояние 2700 км за 3 часа
52	туристы взяли напрокат лодку за 3 часа они поднялись вверх по реке
52	улитка за день залезает вверх по дереву на 3 м
51	аня купила проездной билет на месяц и сделала за месяц 41 поездку. сколько рублей она сэкономила, если проездной билет стоит 580 рублей, а разовая поездка — 20 рублей?
51	в киоске за день продали 50 тетрадей а осталось на 27 тетрадей меньше
51	в пачке 500 листов бумаги формата а4. за неделю в офисе расходуется 1200 листов. какое наименьшее количество пачек бумаги нужно купить в офис на 4 недели?
51	две трубы при совместном действии могут наполнить бассейн за 4 часа
51	двое рабочих работая вместе могут выполнить работу за 9 дней
51	дима и саша красят забор за 10 часов
51	если велосипедист проезжает путь равный 25 метрам за 5 секунд аватария
51	мотоциклист проехал 23 км за 15 минут
51	один мини трактор вспахивает за 1 час 1250 м
51	один рабочий изготавливал за день 23 детали а другой 21 деталь условие
